Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Member_Year,Age,Total_purchase,Is_Parent,Family_Size,Cmp_Attitude,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO
58138.0,58,3,8,10,4,7,0,1,4,59,1617,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46344.0,38,2,1,1,2,5,0,0,2,62,27,1,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
71613.0,26,1,8,2,10,4,0,0,3,51,776,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26646.0,26,2,2,0,4,6,0,0,2,32,53,1,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
58293.0,94,5,5,3,6,5,0,0,2,35,422,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62513.0,16,2,6,4,10,6,0,0,3,49,716,1,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55635.0,34,4,7,3,7,6,0,0,4,45,590,1,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33454.0,32,2,4,0,4,8,0,0,3,31,169,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30351.0,19,1,3,0,2,9,0,1,3,42,46,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5648.0,68,1,1,0,0,20,0,0,2,66,49,1,4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41345.22398308362,11,1,1,0,2,7,0,0,3,33,19,1,3,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7500.0,59,1,2,0,3,8,0,0,4,40,61,0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
63033.0,82,1,3,4,8,2,0,0,3,57,1102,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59354.0,53,3,6,1,5,6,0,0,3,64,310,1,3,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17323.0,38,1,1,0,3,8,0,0,4,29,46,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82800.0,23,1,7,6,12,3,0,1,4,70,1315,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41850.0,51,3,3,0,3,8,0,0,4,36,96,1,4,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37760.0,20,2,4,1,6,7,0,0,4,70,317,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76995.0,91,2,11,4,9,5,0,0,3,67,1782,1,3,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33812.0,86,2,2,1,3,6,0,0,4,31,133,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37040.0,41,1,4,2,5,8,0,0,4,34,316,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2447.0,42,15,0,28,0,1,0,0,3,37,1730,1,3,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58607.0,63,3,2,3,9,8,0,0,4,67,972,1,3,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
65324.0,0,3,6,2,9,4,0,0,2,62,544,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40689.0,69,7,7,1,5,8,0,0,3,65,444,1,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18589.0,89,2,2,1,3,7,0,0,3,47,75,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
53359.0,4,4,5,1,4,7,0,0,3,40,257,1,4,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40701.142374425166,19,0,27,0,0,1,0,0,3,30,637,1,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38360.0,26,2,2,1,4,3,0,0,3,27,131,1,3,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
84618.0,96,1,6,9,10,2,0,0,3,51,1672,0,2,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10979.0,34,2,3,0,3,5,0,0,2,27,30,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38620.0,56,1,2,5,3,3,0,0,3,53,318,0,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40548.0,31,2,2,1,4,5,0,0,4,46,120,1,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
46610.0,8,6,4,1,6,6,0,1,4,64,302,1,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68657.0,4,1,3,5,9,7,0,0,3,70,1196,0,2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49389.0,55,1,2,0,3,7,0,0,3,65,65,1,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
67353.0,37,5,5,6,12,2,0,0,3,46,913,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23718.0,76,3,3,1,2,7,0,0,3,40,81,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42429.0,99,2,1,1,3,5,0,0,2,43,67,1,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48948.0,53,2,7,10,5,6,0,1,3,73,902,0,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
80011.0,3,2,8,6,5,4,0,0,3,36,1395,1,3,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20559.0,88,2,2,0,3,8,0,0,3,31,53,1,3,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21994.0,4,1,0,0,3,5,0,0,4,59,22,1,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65048.00620522455,80,1,1,3,4,2,0,0,3,57,186,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7500.0,19,3,2,0,3,5,0,0,3,41,31,1,3,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
79941.0,72,1,2,4,9,1,0,0,2,40,984,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7500.0,24,3,3,1,3,9,0,1,4,20,122,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41728.0,92,1,2,0,2,10,0,0,3,48,55,1,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23833.992163486342,96,3,2,1,4,6,0,0,2,65,124,1,4,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
72550.0,39,9,5,2,12,8,0,0,4,62,1319,1,4,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
65486.0,29,1,4,2,10,2,0,0,2,59,507,1,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
79143.0,2,1,6,9,13,3,0,0,4,52,1693,0,2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35790.0,54,2,2,0,3,7,0,0,3,39,72,1,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
82582.0,54,1,4,9,7,1,0,1,2,39,1617,0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66373.0,57,7,4,2,10,3,0,0,3,38,606,1,4,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82384.0,55,1,3,10,13,1,0,1,4,61,1957,0,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
70287.0,30,1,5,5,10,3,0,1,3,50,1093,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
